country,risk_score,risk_tier,cases_per_million,case_growth_rate,reproduction_rate,positive_rate,total_vaccinations_per_hundred,population
Eswatini,28.5,Moderate,8.08392060638915,5.0,0.76,,69.45,1201680.0
Mozambique,26.3,Moderate,0.3769715612654181,5.0,0.23,,89.35,32969520.0
Benin,25.5,Moderate,0.07221564709156883,5.0,0.05,,31.7,13352864.0
Gambia,25.3,Moderate,0.47513549940568467,5.0,0.01,,53.38,2705995.0
Egypt,25.3,Moderate,0.03925704197195085,5.0,0.0,,95.05,110990096.0
Timor-Leste,25.0,Low,,5.0,,,,
Ghana,22.9,Low,0.22190824102768433,4.126760563380282,0.3,,66.87,33475870.0
Libya,18.4,Low,0.2726143684380673,3.333333333333333,0.01,,54.89,6812344.0
Congo (Brazzaville),18.2,Low,,3.375000000000001,,,,
Mauritius,17.6,Low,33.09021006896615,2.775985663082438,0.36,,201.18,1299478.0
Venezuela,16.3,Low,0.8505294230180014,1.775294117647059,1.05,,133.78,28301700.0
Haiti,15.2,Low,0.7275415835948794,2.5,0.08,,4.45,11585003.0
Iran,13.6,Low,5.044736536464518,0.8806598505026202,1.28,,175.05,88550568.0
Andorra,11.7,Low,21.4707076924178,0.8666666666666667,0.84,,196.58,79843.0
Algeria,11.0,Low,0.13123459950044442,0.6499999999999997,0.91,,34.0,44903228.0
Palau,10.5,Low,11.849464404208929,1.1000000000000005,0.35,,,18084.0
Bolivia,10.5,Low,11.356359125203559,0.0003308823529410976,1.43,,120.18,12224114.0
San Marino,10.4,Low,204.5965313997371,0.27452830188679234,1.06,,205.81,33690.0
India,10.4,Low,0.21725846531922444,0.37564967630163215,1.04,,155.69,1417173120.0
Malta,10.4,Low,36.02951044601319,0.018939393939394034,1.36,,258.86,533293.0
Portugal,10.4,Low,26.183654531318215,0.9153343023255816,0.48,,274.7,10270857.0
Bangladesh,10.3,Low,0.0408911064694123,-0.020000000000000018,1.4,,207.46,171186368.0
Monaco,10.3,Low,41.10602614343262,0.6333333333333333,0.73,,178.51,36491.0
Estonia,10.2,Low,32.049735156070895,0.06521739130434767,1.29,,159.13,1326064.0
Chile,10.2,Low,136.87077664321595,0.20609995504958278,1.1,,319.78,19603736.0
Sweden,10.2,Low,9.912595419056528,0.05955334987593042,1.3,,243.66,10549349.0
